key,prompt,f_save,is_closeup,negative_prompt,style_prompt
['world_description'],"Henhaven is a world where every creature is a variation of chicken. From the smallest insects to the largest beasts, everything has feathers and a beak. The only exception are the plants, which have adapted to be eaten by chickens.

Technology in Henhaven is limited to pre-industrial levels, with most tasks being done by hand or with simple tools. The most advanced forms of transportation are horse-drawn carts and boats propelled by oars. There is no magic in Henhaven, so all advancements must be made through ingenuity and hard work.

The culture in Henhaven revolves around the various jobs that chickens have. There are farmers who tend to the crops and raise the livestock, blacksmiths who craft tools and weapons, and even artists who create works of art using chicken feathers and eggs. Due to their lack of intelligence, chickens are often supervised by more intelligent creatures, such as turkeys and ducks.

Wild chicken creatures roam the forests and plains of Henhaven. These creatures range from small, timid birds to large, fierce predators. The most dangerous of these creatures are the raptor chickens, which are known for their razor-sharp talons and keen eyesight.

Cute chicken pets are common in Henhaven, with many households keeping chickens as companions. These pets are often pampered and treated like members of the family, with their eggs being a valuable source of food.

Overall, Henhaven is a world of simplicity and hard work, where chickens are the center of everything. Despite their limitations, the chickens of Henhaven have built a thriving society through their determination and resourcefulness.",results/images/Henhaven/000000.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['races'],"Feathered Fowl: These are the most common form of chicken in Henhaven, and are often found working on farms or as pets. They have adapted well to the pre-industrial technology of the world, and are often used for manual labor.",results/images/Henhaven/000001.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['races'],"Beaked Birds: These chickens have longer, more pointed beaks than other breeds, and are often used as hunters or guards. They are especially adept at catching small prey, such as insects or rodents.",results/images/Henhaven/000002.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['races'],"Crested Chickens: These chickens have a distinctive feather crest on their heads, and are often used as messengers or scouts. Their crests help them to stand out, making them easy to identify from a distance.",results/images/Henhaven/000003.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['races'],"Plumed Poultry: These chickens have long, decorative feathers that make them popular as pets and show birds. They are often pampered and well-cared for, as their feathers are highly prized.",results/images/Henhaven/000004.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['races'],"Taloned Turkeys: Though not technically chickens, turkeys are still considered part of the chicken family in Henhaven. These birds have sharp talons and are often used as guards or hunters. They are also skilled at using simple tools, such as sticks or rocks.",results/images/Henhaven/000005.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['races'],"Wattle-Winged: These chickens have large, floppy wattles on their necks, which they use to attract mates. They are often used as breeders, and are highly prized for their ability to produce large, healthy eggs.",results/images/Henhaven/000006.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['creatures'],"Feathered Rodents: These small creatures are a common nuisance for the chicken population, often digging through crops and stealing eggs. They are preyed upon by beaked birds and taloned turkeys.",results/images/Henhaven/000007.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['creatures'],"Fluffy Grazers: These large, slow-moving creatures are often used for transportation and labor. They are docile and easy to train, and provide a valuable source of food and materials.",results/images/Henhaven/000008.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['creatures'],"Sharp-Toothed Predators: These fierce creatures are the top of the food chain in Henhaven, and are feared by all chicken races. They are often hunted by beaked birds and taloned turkeys, but occasionally pose a threat to the chicken populations.",results/images/Henhaven/000009.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['creatures'],"Feathered Flyers: Unlike most chickens, these creatures have the ability to fly short distances. They are often used as messengers or scouts, and are highly prized for their speed and agility.",results/images/Henhaven/000010.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['creatures'],"Coiled Reptiles: These serpentine creatures are often found in the forests and swamps of Henhaven, and are highly venomous. They are avoided by most chickens, but are occasionally hunted for their skins and venom.",results/images/Henhaven/000011.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['creatures'],Burrowing Insects: These small creatures live in the soil and are a valuable source of nutrients for crops. They are often preyed upon by feathered rodents and beaked birds.,results/images/Henhaven/000012.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['creatures'],"Web-Spinning Arachnids: These creatures are feared by most chickens, as they are highly venomous and often prey on smaller birds. They are avoided whenever possible, but occasionally provide valuable materials for weaving and medicine.",results/images/Henhaven/000013.png,True,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, (Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['deities'],"The Great Feathered One: A powerful deity who is said to have created the world of Henhaven. Though largely inactive, it is believed that The Great Feathered One occasionally intervenes in the world to prevent catastrophic events.",results/images/Henhaven/000014.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['deities'],"The Clucking Oracle: A mysterious deity who is said to have the power of prophecy. Those seeking guidance or advice often consult The Clucking Oracle, though it is said that the answers are often cryptic and difficult to interpret.",results/images/Henhaven/000015.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['deities'],"The Plumed Protector: A fierce deity who is said to watch over the inhabitants of Henhaven. It is said that The Plumed Protector will come to the aid of those in need, often in the form of a fearsome bird of prey.",results/images/Henhaven/000016.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['deities'],The Taloned Tempest: A chaotic deity who is said to be responsible for storms and other violent weather events. Many farmers offer sacrifices to The Taloned Tempest in the hopes of avoiding crop damage or other disasters.,results/images/Henhaven/000017.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['deities'],The Wattle-Winged Weaver: A creative deity who is said to be responsible for the beauty and diversity of the world. It is believed that The Wattle-Winged Weaver uses its powers to create new breeds of chicken and other creatures.,results/images/Henhaven/000018.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['deities'],The Crested Counselor: A wise deity who is said to offer guidance and advice to those who seek it. It is believed that The Crested Counselor is especially fond of scholars and those who pursue knowledge.,results/images/Henhaven/000019.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['landmarks'],"The Temple of the Great Feathered One: This towering structure is located on a high mountain peak and is said to be the home of The Great Feathered One. The temple is a place of pilgrimage for many chickens, who come to offer prayers and sacrifices to the deity. The temple is guarded by an order of warrior chickens who are fiercely protective of their sacred charge.",results/images/Henhaven/000020.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['landmarks'],"The Wattle-Winged Wasteland: This barren desert was once home to a thriving civilization of chickens, but is now a desolate and dangerous place. Legend has it that The Taloned Tempest unleashed a massive sandstorm that wiped out the civilization in a single day. Despite the dangers, some brave adventurers still venture into the wasteland in search of treasure or ancient artifacts.",results/images/Henhaven/000021.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['landmarks'],"The Plumed Palace: This majestic castle was once the home of a wealthy and powerful chicken noble. Though now abandoned, the palace is still a popular destination for tourists and artists who come to admire its beauty and intricate decorations.",results/images/Henhaven/000022.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['landmarks'],"The Clucking Catacombs: This network of underground tunnels and chambers is said to be the resting place of ancient chicken kings and queens. Many treasure hunters have tried to plunder the catacombs over the years, but few have returned alive.",results/images/Henhaven/000023.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
['landmarks'],"The Taloned Tower: This towering structure was once used as a place of worship for The Taloned Tempest. Though now abandoned, the tower is still said to be imbued with powerful magic, and is a popular destination for sorcerers and mystics.",results/images/Henhaven/000024.png,False,"((sfw)), (people:1.1), (human:1.1), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","(Chicken:1.1). Not human. Studio Ghibli, illustration, high level of detail and expression. lush, detailed backgrounds, highly expressive characters, emphasis on nature. by Hayao Miyazaki. Chickens heads."
